pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta
"¿Quién salió campeón del Mundial 2022?","Francia","Argentina","Brasil","Croacia","B"
"¿Qué país ha ganado más Copas del Mundo en la historia?","Alemania","Italia","Brasil","Argentina","C"
"¿Quién es el máximo goleador histórico de los Mundiales?","Pelé","Miroslav Klose","Ronaldo","Lionel Messi","B"
"¿En qué año se celebró el primer Mundial de la FIFA?","1928","1930","1934","1950","B"
"¿Qué país fue el anfitrión del Mundial 2010?","Brasil","Alemania","Sudáfrica","Rusia","C"
"¿Qué jugador dio un cabezazo a Materazzi en la final de 2006?","Thierry Henry","Zinedine Zidane","Patrick Vieira","Franck Ribéry","B"
"¿Cuál es el único país que ha participado en todos los Mundiales?","Argentina","Alemania","Italia","Brasil","D"
"¿Qué selección ganó el Mundial de 1998 siendo el país anfitrión?","Francia","Brasil","Italia","Inglaterra","A"
"¿Quién ganó el Balón de Oro al mejor jugador del Mundial 2014?","James Rodríguez","Thomas Müller","Lionel Messi","Mario Götze","C"
"¿En qué Mundial se utilizó el VAR por primera vez?","Brasil 2014","Rusia 2018","Qatar 2022","Sudáfrica 2010","B"
"¿Qué país sudamericano fue la sede del Mundial 1962?","Uruguay","Brasil","Chile","Argentina","C"
"¿Qué jugador marcó el famoso gol de 'La Mano de Dios'?","Mario Kempes","Gabriel Batistuta","Diego Maradona","Lionel Messi","C"
"¿Cuál fue el resultado del famoso 'Mineirazo' en el Mundial 2014?","Brasil 1-7 Alemania","Brasil 0-3 Francia","Brasil 1-5 Países Bajos","Brasil 0-2 Uruguay","A"
"¿Qué selección africana fue la primera en llegar a las semifinales?","Camerún","Senegal","Ghana","Marruecos","D"
"¿Quién fue el campeón del Mundial de España 1982?","Brasil","Alemania","Italia","Argentina","C"
